Termo_Frequente,Ocorrencias
dia,29
agora,19
vamos,18
brasil,18
rio,14
pela,13
bom,13
sobre,12
pelo,12
bem,11
china,10
federal,10
entre,10
segundo,9
estados,9
mundo,9
ainda,9
cinco,9
paulo,9
hoje,9
vinte,9
governo,8
pro,8
unidos,8
taiwan,8
mil,8
fred,8
pode,8
desmatamento,8
nosso,7
trump,7
grande,7
polícia,7
janeiro,7
temperatura,7
questão,6
seria,6
estado,6
país,6
tempo,6
ontem,6
prisão,6
cbn,6
primeira,6
contra,6
minutos,6
guerra,5
falar,5
disse,5
público,5
primeiro,5
será,5
saúde,5
nessa,5
bolsonaro,5
evento,5
horas,5
ana,5
globo,5
ano,5
destaque,5
soja,5
claro,4
processo,4
outros,4
caso,4
pai,4
inclusive,4
sul,4
mesmo,4
pouco,4
melhor,4
depois,4
além,4
informações,4
investigação,4
agenda,4
ouvinte,4
paulista,4
ministério,4
maio,4
nossa,4
detalhes,4
centro,4
copa,4
obrigado,4
chegando,4
nacional,4
cinquenta,4
mulheres,4
estou,4
formação,4
graus,4
civil,3
política,3
países,3
muitas,3
acho,3
fez,3
dizer,3
