Termo_Frequente,Ocorrencias
neymá,3
região,2
setenta,2
cento,2
entre,2
felipe,2
brasil,2
convocação,2
informações,2
boa,2
tarde,2
meu,2
hotel,2
manhã,2
lista,2
semana,2
jogadores,2
deu,2
copa,2
horas,2
painel,2
sul,1
chama,1
atenção,1
sudeste,1
proposta,1
entrevistados,1
dezembro,1
ano,1
passado,1
agora,1
caindo,1
trabalhadores,1
recebem,1
salários,1
mínimos,1
apoem,1
favor,1
redução,1
jornada,1
trabalho,1
eleitores,1
presidente,1
lula,1
segundo,1
turun,1
eleições,1
chega,1
sete,1
quatro,1
brasileiros,1
dias,1
oito,1
maio,1
magia,1
dia,1
levantamento,1
pontos,1
percentuais,1
tatiana,1
obrigada,1
greja,1
brasília,1
taca,1
pouco,1
seleção,1
brasileira,1
mundo,1
vamos,1
rio,1
janeiro,1
leonardo,1
acompanha,1
traz,1
clima,1
léo,1
fernando,1
estou,1
naquela,1
cinda,1
saio,1
daqui,1
ninguém,1
tira,1
passei,1
pela,1
triagem,1
peguei,1
craixar,1
aliás,1
canarinho,1
pistola,1
deles,1
chegar,1
músico,1
nesse,1
exato,1
momento,1
fazendo,1
farra,1
