Termo_Frequente,Ocorrencias
senado,146
rádio,119
dia,109
meu,98
mundo,76
agora,71
minha,70
amor,69
quero,66
bom,64
brasil,63
vida,63
sou,62
mim,55
sei,55
bem,53
brasília,52
ainda,50
pode,50
tudo,48
calma,47
faz,46
pelo,46
música,45
hora,45
vamos,42
noite,39
mesmo,39
anos,38
nem,37
hoje,36
play,36
tanto,35
horas,34
vez,33
tão,33
manhã,33
tempo,32
vem,32
pela,31
tenho,30
coração,30
projeto,30
sobre,28
nossa,28
todo,27
viver,27
nada,27
sempre,27
coisa,27
nunca,27
todos,26
ano,26
boa,26
semana,25
rio,25
outro,25
brasileira,24
vezes,24
grande,24
seus,24
sabe,24
cara,24
teu,23
deus,23
muita,23
será,22
história,22
toda,21
programa,21
meus,21
conexão,21
prazer,20
seja,20
pessoas,20
quer,20
contra,20
cada,20
nosso,19
corpo,18
poder,18
notícias,18
pai,18
dessa,18
passar,18
antes,18
saúde,18
tire,18
entre,17
depois,17
samba,17
horário,17
qualquer,17
falar,17
coisas,16
lugar,16
ninguém,16
bloco,16
nove,16
meia,16
